Area Team Code,Area Team Name,Organisation Code,Organisation Name," Total number of attendances in A&E HES 

(excluding planned follow-up attendances and attendances where the attendance category was unknown) ", Number of attendances from A&E Situation Reports (SitReps) - unscaled , Number of attendances from A&E Situation Reports (SitReps) - scaled [see footnote 1] ,A&E HES attendances as % of scaled SitRep attendances [see footnote 2],"Assessment of coverage of A&E HES data, compared to Sitrep data","Total number of attendances in A&E HES 

(excluding planned follow-up attendances and attendances where the attendance category was unknown)",Attendances with an unknown attendance disposal category,% of attendances with unknown attendance disposal categories,"% of attendances with an attendance disposal category of ""Other""","Total number of attendances in A&E HES 

(excluding planned follow-up attendances, attendances where the attendance category was unknown, and attendances where the attendance disposal category was unknown)","Number of attendances with an attendance disposal of ""Left Department before being seen for treatment""",Left department before being seen for treatment,"Total number of applicable attendances for this indicator (1st A&E attendance, unplanned follow up attendance and unknown attendance)", Attendances with unknown attendance category ,% of attendances with an unknown attendance category,"Total number of attendances in A&E HES 

(excluding planned follow-up attendances and attendances where the attendance category was unknown)",Number of re-attendances within 7 days of a previous attendance at A&E,Re-attendance rate,% attendances with an arrival time of exactly midnight (00:00),"Total number of attendances in A&E HES that were brought in by ambulance

(excluding planned follow-up attendances and attendances where the attendance category was unknown)",Attendances with an unknown duration to initial assessment,% of attendances with unknown duration to assessment times,Did all attendances have a duration to assessment of 0 minutes?,% of attendances with an initial assessment time of exactly midnight (00:00) [see footnote 8],AssessMedian,95th Percentile [see footnote 4],Longest wait [see footnotes 5],"Total number of attendances in A&E HES 

(excluding planned follow-up attendances,  attendances where the attendance category was unknown, and attendances where the attendance disposal category was: Left Before Treatment, Left Refusing Treatment, or Unknown)",Attendances with unknown duration to treatment,% of attendances with unknown duration to treatment times,Did more than 25% of attendances have a duration to treatment of 0 minutes?,% attendances with a treatment time of exactly midnight (00:00),TreatMedian,95th Percentile [see footnote 4],"Longest wait
 [see footnote 5]",Median,95th Percentile [see footnote 4],"Longest wait
 [see footnote 5]",Median,95th Percentile [see footnote 4],"Longest wait
 [see footnote 5]","Total number of attendances in A&E HES 

(excluding planned follow-up attendances and attendances where the attendance category was unknown)",Attendances with unknown duration to departure,% of attendances with unknown duration to departure times,Did more than 25% of attendances have a duration to departure of 0 minutes?,% attendances with a departure time of exactly midnight (00:00) [see footnote 8],TotalMedian,95th Percentile [see footnote 4],"Longest wait
 [see footnote 5]"
Q71,LONDON ,RP6,MOORFIELDS EYE HOSPITAL NHS FOUNDATION TRUST,"7,551","7,165","7,677",98.4%,A&E HES attendances are within 10% of SitReps,"7,551",0,0.0%,1.7%,"7,551",93,1.2%,"7,551",0,0.0%,"7,551",566,7.5%,0.0%,7,7,100.0%,,0.0%,-,-,-,"7,457",761,10.2%,,0.0%,22,63,878,134,230,230,113,213,400,"7,551",0,0.0%,,0.0%,113,213,400
Q66,"DEVON, CORNWALL AND ISLES OF SCILLY ",NLL15,NEWQUAY HOSPITAL,899,No Data,No Data,No Data,No Data,899,0,0.0%,0.0%,899,*,*,899,0,0.0%,899,36,4.0%,0.0%,6,0,0.0%,,0.0%,32,73,73,895,0,0.0%,,0.0%,9,52,"1,382",No Data,No Data,No Data,35,101,"1,395",899,0,0.0%,,0.1%,35,101,"1,395"
Q71,LONDON ,08A,NHS GREENWICH CCG,"3,879",No Data,No Data,No Data,No Data,"3,879",0,0.0%,*,"3,879",15,0.4%,"3,879",0,0.0%,"3,879",254,6.5%,0.0%,187,132,70.6%,,0.0%,8,47,62,"3,703",0,0.0%,,0.1%,73,169,245,197,535,551,119,231,537,"3,879",0,0.0%,,0.0%,119,232,551
Q46,GREATER MANCHESTER ,02H,NHS WIGAN BOROUGH CCG,434,No Data,No Data,No Data,No Data,434,0,0.0%,0.0%,434,15,3.5%,434,0,0.0%,434,*,*,0.0%,30,0,0.0%,,0.0%,5,31,33,417,0,0.0%,,0.0%,42,130,204,236,403,403,69,191,355,434,0,0.0%,,0.0%,70,212,403
Q56,EAST ANGLIA ,RM1,NORFOLK AND NORWICH UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,"9,147","8,623","9,239",99.0%,A&E HES attendances are within 10% of SitReps,"9,147",0,0.0%,0.0%,"9,147",126,1.4%,"9,147",0,0.0%,"9,147",410,4.5%,0.0%,"3,099",0,0.0%,,0.3%,4,14,"1,197","9,015",0,0.0%,,0.3%,61,170,665,218,359,699,105,234,501,"9,147",0,0.0%,,0.2%,134,240,699
Q65,"BRISTOL, NORTH SOMERSET, SOMERSET AND SOUTH GLOUCESTERSHIRE ",RVJ,NORTH BRISTOL NHS TRUST,"7,680","7,319","7,842",97.9%,A&E HES attendances are within 10% of SitReps,"7,680",7,0.1%,0.0%,"7,673",189,2.5%,"7,681",1,0.0%,"7,680",418,5.4%,0.0%,"2,095",17,0.8%,,0.2%,24,146,"1,439","7,479",148,2.0%,,0.1%,49,151,"1,439",231,519,"1,078",125,238,779,"7,680",0,0.0%,,0.1%,152,358,"1,078"
Q49,"CUMBRIA, NORTHUMBERLAND, TYNE AND WEAR ",RNL,NORTH CUMBRIA UNIVERSITY HOSPITALS NHS TRUST,"6,576","6,205","6,648",98.9%,A&E HES attendances are within 10% of SitReps,"6,576",0,0.0%,1.2%,"6,576",140,2.1%,"6,576",0,0.0%,"6,576",414,6.3%,0.1%,"2,203",196,8.9%,,0.1%,8,38,161,"6,424",1,0.0%,,0.2%,14,134,"1,438",200,387,695,93,228,687,"6,576",0,0.0%,,0.1%,117,275,695
Q71,LONDON ,RAT,NORTH EAST LONDON NHS FOUNDATION TRUST,"5,269","4,920","5,271",100.0%,A&E HES attendances are within 10% of SitReps,"5,269",0,0.0%,1.0%,"5,269",53,1.0%,"5,269",0,0.0%,"5,269",361,6.9%,0.0%,*,*,0.0%,,0.0%,*,*,*,"5,215",555,10.6%,,0.0%,63,"1,390","1,439",No Data,No Data,No Data,81,"1,383","1,439","5,269",0,0.0%,,0.0%,81,"1,383","1,439"
Q71,LONDON ,RAP,NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,"15,546","14,658","15,705",99.0%,A&E HES attendances are within 10% of SitReps,"15,546",0,0.0%,1.3%,"15,546",440,2.8%,"15,579",33,0.2%,"15,546","1,345",8.7%,0.0%,"3,562",52,1.5%,,0.0%,0,24,217,"14,847",5,0.0%,,0.1%,79,182,470,221,452,"1,251",149,238,841,"15,546",0,0.0%,,0.1%,158,240,"1,251"
Q65,"BRISTOL, NORTH SOMERSET, SOMERSET AND SOUTH GLOUCESTERSHIRE ",NLT01,NORTH SOMERSET COMMUNITY PARTNERSHIP CIC HQ,757,No Data,No Data,No Data,No Data,757,0,0.0%,6.2%,757,7,0.9%,757,0,0.0%,757,88,11.6%,0.0%,No Data,No Data,No Data,,No Data,No Data,No Data,No Data,750,0,0.0%,,0.0%,48,145,"1,189",No Data,No Data,No Data,62,165,"1,171",757,0,0.0%,,0.0%,62,165,"1,171"
Q45,"DURHAM, DARLINGTON AND TEES ",RVW,NORTH TEES AND HARTLEPOOL NHS FOUNDATION TRUST,"7,200","6,852","7,341",98.1%,A&E HES attendances are within 10% of SitReps,"7,200",0,0.0%,0.0%,"7,200",149,2.1%,"7,200",0,0.0%,"7,200",350,4.9%,0.0%,"1,806",1,0.1%,,0.0%,5,18,171,"7,021",0,0.0%,,0.0%,42,128,260,220,356,477,93,229,663,"7,200",0,0.0%,,0.0%,110,239,663
Q71,LONDON ,RV8,NORTH WEST LONDON HOSPITALS NHS TRUST,"18,048","16,913","18,121",99.6%,A&E HES attendances are within 10% of SitReps,"18,048",1,0.0%,0.2%,"18,047",344,1.9%,"18,157",109,0.6%,"18,048","1,900",10.5%,0.0%,"3,553",82,2.3%,,0.0%,4,33,215,"17,679",463,2.6%,,0.0%,60,192,634,231,713,"1,302",113,238,"1,398","18,048",1,0.0%,,0.0%,131,336,"1,398"
Q58,HERTFORDSHIRE AND THE SOUTH MIDLANDS ,RNS,NORTHAMPTON GENERAL HOSPITAL NHS TRUST,"8,986","8,394","8,994",99.9%,A&E HES attendances are within 10% of SitReps,"8,986",13,0.1%,0.1%,"8,973",264,2.9%,"8,986",0,0.0%,"8,986",718,8.0%,0.1%,"2,212",5,0.2%,,0.0%,7,45,163,"8,703",915,10.5%,,0.0%,69,648,"1,439",214,451,"1,421",100,237,"1,028","8,986",0,0.0%,,0.1%,128,309,"1,421"
Q66,"DEVON, CORNWALL AND ISLES OF SCILLY ",RBZ,NORTHERN DEVON HEALTHCARE NHS TRUST,"8,257","10,965","11,748",70.3%,A&E HES attendances are less than 80% or more than 120% of SitRep attendances,"8,257",60,0.7%,*,"8,197",114,1.4%,"8,257",0,0.0%,"8,257","1,072",13.0%,0.0%,"1,170",10,0.9%,,0.0%,3,"1,406","1,439","8,066",357,4.4%,,0.0%,20,136,545,196,358,519,51,204,"1,383","8,257",60,0.7%,,0.0%,59,237,"1,383"
Q50,NORTH YORKSHIRE AND HUMBER ,RJL,NORTHERN LINCOLNSHIRE AND GOOLE NHS FOUNDATION TRUST,"11,679","10,901","11,680",100.0%,A&E HES attendances are within 10% of SitReps,"11,679",0,0.0%,0.8%,"11,679",154,1.3%,"11,679",0,0.0%,"11,679",971,8.3%,0.1%,"3,071",1,0.0%,,0.0%,0,13,"1,395","11,445","1,043",9.1%,,0.1%,38,127,"1,068",203,346,558,92,229,526,"11,679",0,0.0%,,0.0%,111,239,558
Q49,"CUMBRIA, NORTHUMBERLAND, TYNE AND WEAR ",RTF,NORTHUMBRIA HEALTHCARE NHS FOUNDATION TRUST,"13,680","12,922","13,845",98.8%,A&E HES attendances are within 10% of SitReps,"13,680",0,0.0%,0.0%,"13,680",278,2.0%,"13,680",0,0.0%,"13,680","1,009",7.4%,0.0%,"3,683",20,0.5%,,0.0%,1,11,89,"13,376",65,0.5%,,0.1%,51,153,305,167,260,585,95,220,512,"13,680",0,0.0%,,0.0%,114,236,585
Q55,DERBYSHIRE AND NOTTINGHAMSHIRE ,RX1,NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUST,"15,317","14,368","15,394",99.5%,A&E HES attendances are within 10% of SitReps,"15,317",0,0.0%,0.8%,"15,317",433,2.8%,"15,317",0,0.0%,"15,317",955,6.2%,0.0%,"4,594",92,2.0%,,0.0%,15,52,502,"14,847",33,0.2%,,0.0%,55,163,346,232,540,945,116,240,"1,211","15,317",0,0.0%,,0.0%,139,365,"1,211"
Q69,THAMES VALLEY ,RNU,OXFORD HEALTH NHS FOUNDATION TRUST,"2,885","2,408","2,580",111.8%,A&E HES attendances are within 20% of SitReps,"2,885",0,0.0%,6.2%,"2,885",52,1.8%,"2,885",0,0.0%,"2,885",127,4.4%,0.0%,14,0,0.0%,,0.0%,0,70,70,"2,833",0,0.0%,,0.0%,43,147,744,*,*,*,80,194,784,"2,885",0,0.0%,,0.0%,80,194,784
Q69,THAMES VALLEY ,RTH,OXFORD UNIVERSITY HOSPITALS NHS TRUST,"9,873","10,422","11,166",88.4%,A&E HES attendances are within 20% of SitReps,"9,873",9,0.1%,*,"9,864",269,2.7%,"9,921",48,0.5%,"9,873",521,5.3%,0.0%,"3,272","1,057",32.3%,,0.0%,0,0,225,"9,581","1,232",12.9%,,0.0%,73,192,"1,409",228,441,"1,182",156,239,"1,207","9,873",0,0.0%,,0.0%,181,341,"1,207"
Q64,"BATH, GLOUCESTERSHIRE, SWINDON AND WILTSHIRE ",NLX02,PAULTON MEMORIAL HOSPITAL,549,691,740,74.2%,A&E HES attendances are less than 80% or more than 120% of SitRep attendances,549,0,0.0%,16.2%,549,*,*,549,0,0.0%,549,55,10.0%,0.0%,*,*,0.0%,,0.0%,*,*,*,547,0,0.0%,,0.0%,28,105,174,No Data,No Data,No Data,45,122,191,549,0,0.0%,,0.0%,45,122,191
Q46,GREATER MANCHESTER ,RW6,PENNINE ACUTE HOSPITALS NHS TRUST,"26,166","24,328","26,066",100.4%,A&E HES attendances are within 10% of SitReps,"26,166",0,0.0%,0.1%,"26,166",632,2.4%,"26,166",0,0.0%,"26,166","2,240",8.6%,0.0%,"6,261",93,1.5%,,0.1%,6,25,279,"25,409",6,0.0%,,0.1%,54,150,787,193,382,894,116,225,751,"26,166",0,0.0%,,0.0%,127,238,894
Q56,EAST ANGLIA ,RGN,PETERBOROUGH AND STAMFORD HOSPITALS NHS FOUNDATION TRUST,"7,925","7,275","7,795",101.7%,A&E HES attendances are within 10% of SitReps,"7,925",8,0.1%,*,"7,917",292,3.7%,"7,925",0,0.0%,"7,925",593,7.5%,0.0%,"2,474",2,0.1%,,0.0%,0,0,"1,439","7,612",74,1.0%,,0.1%,63,173,333,232,365,790,120,238,723,"7,925",0,0.0%,,0.1%,159,286,790
Q66,"DEVON, CORNWALL AND ISLES OF SCILLY ",RK9,PLYMOUTH HOSPITALS NHS TRUST,"7,665","7,206","7,721",99.3%,A&E HES attendances are within 10% of SitReps,"7,665",0,0.0%,0.0%,"7,665",166,2.2%,"7,665",0,0.0%,"7,665",416,5.4%,0.0%,"2,771",131,4.7%,,0.0%,1,11,"1,439","7,472",0,0.0%,,0.1%,55,146,251,209,355,665,122,229,645,"7,665",0,0.0%,,0.1%,148,262,665
Q70,WESSEX ,RD3,POOLE HOSPITAL NHS FOUNDATION TRUST,"5,517","5,171","5,540",99.6%,A&E HES attendances are within 10% of SitReps,"5,517",0,0.0%,0.0%,"5,517",173,3.1%,"5,517",0,0.0%,"5,517",364,6.6%,0.1%,"1,810",436,24.1%,,0.0%,3,23,304,"5,339",589,11.0%,,0.2%,65,186,429,213,306,539,146,238,510,"5,517",0,0.0%,,0.1%,166,240,539
Q70,WESSEX ,RHU,PORTSMOUTH HOSPITALS NHS TRUST,"10,655","10,404","11,147",95.6%,A&E HES attendances are within 10% of SitReps,"10,655",0,0.0%,0.5%,"10,655",282,2.6%,"10,655",0,0.0%,"10,655",781,7.3%,0.0%,"3,134",23,0.7%,,0.1%,20,71,232,"10,370",0,0.0%,,0.1%,58,199,445,235,596,"1,042",107,288,819,"10,655",0,0.0%,,0.0%,134,432,"1,042"
Q68,SURREY AND SUSSEX ,RPC,QUEEN VICTORIA HOSPITAL NHS FOUNDATION TRUST,956,918,984,97.2%,A&E HES attendances are within 10% of SitReps,956,0,0.0%,14.2%,956,7,0.7%,956,0,0.0%,956,14,1.5%,0.0%,*,*,50.0%,,0.0%,*,*,*,949,19,2.0%,,0.0%,16,86,"1,424",138,363,363,53,140,315,956,0,0.0%,,0.0%,54,149,363
Q69,THAMES VALLEY ,RHW,ROYAL BERKSHIRE NHS FOUNDATION TRUST,"9,181","8,796","9,424",97.4%,A&E HES attendances are within 10% of SitReps,"9,181",50,0.5%,0.0%,"9,131",162,1.8%,"9,181",0,0.0%,"9,181",643,7.0%,0.0%,"2,454",0,0.0%,Yes,0.0%,~,~,~,"8,958",0,0.0%,,6.2%,48,324,"1,423",212,347,702,107,234,971,"9,181",0,0.0%,,0.1%,130,239,971
Q66,"DEVON, CORNWALL AND ISLES OF SCILLY ",REF,ROYAL CORNWALL HOSPITALS NHS TRUST,"6,099","5,787","6,200",98.4%,A&E HES attendances are within 10% of SitReps,"6,099",0,0.0%,0.0%,"6,099",113,1.9%,"6,099",0,0.0%,"6,099",348,5.7%,0.1%,"2,356",0,0.0%,,0.1%,7,29,179,"5,978",0,0.0%,,0.0%,38,173,643,236,629,988,104,238,719,"6,099",0,0.0%,,0.1%,158,416,988
Q66,"DEVON, CORNWALL AND ISLES OF SCILLY ",RH8,ROYAL DEVON AND EXETER NHS FOUNDATION TRUST,"8,617","8,039","8,613",100.0%,A&E HES attendances are within 10% of SitReps,"8,617",1,0.0%,0.1%,"8,616",343,4.0%,"8,617",0,0.0%,"8,617",661,7.7%,0.0%,"2,476",0,0.0%,,0.1%,3,14,"1,142","8,244","1,127",13.7%,,0.1%,58,191,"1,142",213,352,905,114,239,525,"8,617",1,0.0%,,0.1%,141,278,905
Q71,LONDON ,RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,"8,025","7,616","8,160",98.3%,A&E HES attendances are within 10% of SitReps,"8,025",4,0.0%,0.1%,"8,021",250,3.1%,"8,097",72,0.9%,"8,025",652,8.1%,0.0%,"1,761",0,0.0%,,0.2%,3,25,"1,433","7,762",0,0.0%,,4.7%,55,205,"1,438",233,579,"1,366",120,237,"1,419","8,025",0,0.0%,,0.1%,152,239,"1,419"
Q48,MERSEYSIDE ,RQ6,ROYAL LIVERPOOL AND BROADGREEN UNIVERSITY HOSPITALS NHS TRUST,"8,779","8,158","8,741",100.4%,A&E HES attendances are within 10% of SitReps,"8,779",5,0.1%,7.0%,"8,774",148,1.7%,"8,779",0,0.0%,"8,779",832,9.5%,0.0%,"2,974",2,0.1%,,0.1%,1,4,"1,439","8,572",295,3.4%,,0.1%,31,193,928,232,687,"1,405",121,237,"1,399","8,779",0,0.0%,,0.3%,153,400,"1,405"
Q68,SURREY AND SUSSEX ,RA2,ROYAL SURREY COUNTY HOSPITAL NHS FOUNDATION TRUST,"5,782","5,430","5,818",99.4%,A&E HES attendances are within 10% of SitReps,"5,782",3,0.1%,1.9%,"5,779",102,1.8%,"5,782",0,0.0%,"5,782",373,6.5%,0.1%,"1,513","1,512",99.9%,,0.0%,"1,420","1,420","1,420","5,677",229,4.0%,,0.1%,16,59,280,215,305,809,135,235,474,"5,782",0,0.0%,,0.4%,163,239,809
Q64,"BATH, GLOUCESTERSHIRE, SWINDON AND WILTSHIRE ",RD1,ROYAL UNITED HOSPITAL BATH NHS TRUST,"5,773","5,439","5,828",99.1%,A&E HES attendances are within 10% of SitReps,"5,773",2,0.0%,0.2%,"5,771",73,1.3%,"5,773",0,0.0%,"5,773",341,5.9%,0.0%,"2,249",0,0.0%,,0.0%,0,10,"1,439","5,693",2,0.0%,,0.1%,43,161,477,226,470,944,108,236,854,"5,773",0,0.0%,,0.2%,160,339,944
Q46,GREATER MANCHESTER ,RM3,SALFORD ROYAL NHS FOUNDATION TRUST,"7,442","7,261","7,780",95.7%,A&E HES attendances are within 10% of SitReps,"7,442",0,0.0%,*,"7,442",266,3.6%,"7,442",0,0.0%,"7,442",582,7.8%,0.0%,"2,304",1,0.0%,,0.2%,6,15,"1,438","7,164",0,0.0%,,0.1%,62,199,380,224,358,833,127,238,671,"7,442",0,0.0%,,0.1%,159,298,833
Q64,"BATH, GLOUCESTERSHIRE, SWINDON AND WILTSHIRE ",RNZ,SALISBURY NHS FOUNDATION TRUST,"3,565","3,334","3,572",99.8%,A&E HES attendances are within 10% of SitReps,"3,565",0,0.0%,7.0%,"3,565",50,1.4%,"3,565",0,0.0%,"3,565",175,4.9%,0.1%,974,0,0.0%,,0.0%,0,8,32,"3,503",91,2.6%,,0.1%,57,146,401,220,344,535,124,236,767,"3,565",0,0.0%,,0.2%,138,239,767
Q54,BIRMINGHAM AND THE BLACK COUNTRY ,RXK,SANDWELL AND WEST BIRMINGHAM HOSPITALS NHS TRUST,"14,258","16,846","18,049",79.0%,A&E HES attendances are less than 80% or more than 120% of SitRep attendances,"14,258",0,0.0%,1.0%,"14,258",475,3.3%,"14,258",0,0.0%,"14,258",690,4.8%,0.0%,"3,914",0,0.0%,,0.1%,4,19,134,"13,728",24,0.2%,,0.0%,46,133,948,207,358,"1,207",122,232,"1,182","14,258",0,0.0%,,0.1%,139,245,"1,207"
Q51,SOUTH YORKSHIRE AND BASSETLAW ,RCU,SHEFFIELD CHILDREN'S NHS FOUNDATION TRUST,"4,597","4,345","4,655",98.8%,A&E HES attendances are within 10% of SitReps,"4,597",11,0.2%,0.2%,"4,586",41,0.9%,"4,597",0,0.0%,"4,597",390,8.5%,0.0%,377,0,0.0%,,0.5%,4,14,15,"4,541",0,0.0%,,0.1%,41,113,470,77,291,565,92,204,"1,390","4,597",0,0.0%,,0.1%,92,229,"1,390"
Q51,SOUTH YORKSHIRE AND BASSETLAW ,RHQ,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,"11,977","11,545","12,370",96.8%,A&E HES attendances are within 10% of SitReps,"11,977",1,0.0%,0.6%,"11,976",362,3.0%,"11,977",0,0.0%,"11,977",912,7.6%,0.0%,"3,766",2,0.1%,,0.0%,0,7,"1,430","11,493",0,0.0%,,0.0%,39,164,343,194,326,713,99,228,756,"11,977",1,0.0%,,0.0%,125,237,756
Q55,DERBYSHIRE AND NOTTINGHAMSHIRE ,RK5,SHERWOOD FOREST HOSPITALS NHS FOUNDATION TRUST,"9,731","11,313","12,121",80.3%,A&E HES attendances are within 20% of SitReps,"9,731",0,0.0%,0.1%,"9,731",245,2.5%,"9,731",0,0.0%,"9,731",743,7.6%,0.0%,"2,472",2,0.1%,,0.2%,4,37,322,"9,438",11,0.1%,,0.0%,51,180,523,229,434,917,120,239,789,"9,731",0,0.0%,,0.1%,148,309,917
Q60,SHROPSHIRE AND STAFFORDSHIRE ,RXW,SHREWSBURY AND TELFORD HOSPITAL NHS TRUST,"8,960","9,460","10,136",88.4%,A&E HES attendances are within 20% of SitReps,"8,960",0,0.0%,0.0%,"8,960",124,1.4%,"8,960",0,0.0%,"8,960",535,6.0%,0.0%,"2,447",1,0.0%,,0.3%,6,33,263,"8,803","1,821",20.7%,,0.0%,52,152,736,205,419,"1,408",104,238,761,"8,960",0,0.0%,,0.3%,123,299,"1,408"
Q60,SHROPSHIRE AND STAFFORDSHIRE ,R1D,SHROPSHIRE COMMUNITY HEALTH NHS TRUST,"1,611","1,961","2,101",76.7%,A&E HES attendances are less than 80% or more than 120% of SitRep attendances,"1,611",0,0.0%,4.0%,"1,611",*,*,"1,611",0,0.0%,"1,611",62,3.8%,0.0%,17,0,0.0%,,0.0%,11,141,141,"1,600",0,0.0%,,0.0%,6,65,156,No Data,No Data,No Data,40,117,305,"1,611",0,0.0%,,0.0%,40,117,305
Q70,WESSEX ,R1C,SOLENT NHS TRUST,"1,755","1,738","1,862",94.3%,A&E HES attendances are within 10% of SitReps,"1,755",0,0.0%,23.8%,"1,755",17,1.0%,"1,755",0,0.0%,"1,755",53,3.0%,0.0%,*,*,0.0%,,0.0%,*,*,*,"1,738",0,0.0%,,0.0%,26,115,380,89,162,162,52,139,"1,266","1,755",0,0.0%,,0.0%,52,139,"1,266"
Q65,"BRISTOL, NORTH SOMERSET, SOMERSET AND SOUTH GLOUCESTERSHIRE ",RH5,SOMERSET PARTNERSHIP NHS FOUNDATION TRUST,"7,073","6,627","7,100",99.6%,A&E HES attendances are within 10% of SitReps,"7,073",0,0.0%,2.1%,"7,073",95,1.3%,"7,073",0,0.0%,"7,073",406,5.7%,0.0%,50,0,0.0%,,66.0%,467,872,901,"6,978",0,0.0%,,17.5%,47,752,"1,363",117,605,"1,209",73,301,"1,382","7,073",0,0.0%,,0.0%,73,302,"1,382"
Q66,"DEVON, CORNWALL AND ISLES OF SCILLY ",RA9,SOUTH DEVON HEALTHCARE NHS FOUNDATION TRUST,"6,544","6,167","6,608",99.0%,A&E HES attendances are within 10% of SitReps,"6,544",0,0.0%,0.0%,"6,544",256,3.9%,"6,544",0,0.0%,"6,544",483,7.4%,0.0%,"2,286",18,0.8%,,0.3%,52,199,482,"6,259",98,1.6%,,0.3%,50,187,482,234,496,855,126,288,806,"6,544",0,0.0%,,0.5%,160,395,855
Q45,"DURHAM, DARLINGTON AND TEES ",RTR,SOUTH TEES HOSPITALS NHS FOUNDATION TRUST,"10,217","15,845","16,977",60.2%,A&E HES attendances are less than 80% or more than 120% of SitRep attendances,"10,217",0,0.0%,7.4%,"10,217",210,2.1%,"10,217",0,0.0%,"10,217",479,4.7%,0.0%,"2,782",0,0.0%,,0.0%,0,7,29,"9,946",12,0.1%,,0.2%,38,148,353,182,300,523,84,230,577,"10,217",0,0.0%,,0.3%,103,239,577
Q49,"CUMBRIA, NORTHUMBERLAND, TYNE AND WEAR ",RE9,SOUTH TYNESIDE NHS FOUNDATION TRUST,"12,432","11,728","12,566",98.9%,A&E HES attendances are within 10% of SitReps,"12,432",0,0.0%,1.4%,"12,432",247,2.0%,"12,432",0,0.0%,"12,432",781,6.3%,0.3%,"1,441",6,0.4%,,0.0%,5,27,111,"12,158","7,610",62.6%,,0.0%,56,167,357,215,393,568,59,216,"1,432","12,432",0,0.0%,,0.2%,64,233,"1,432"
Q53,"ARDEN, HEREFORDSHIRE AND WORCESTERSHIRE ",RJC,SOUTH WARWICKSHIRE NHS FOUNDATION TRUST,"5,458","5,222","5,595",97.6%,A&E HES attendances are within 10% of SitReps,"5,458",0,0.0%,0.0%,"5,458",80,1.5%,"5,458",0,0.0%,"5,458",349,6.4%,0.0%,"1,345",0,0.0%,,0.0%,2,27,335,"5,363","2,589",48.3%,,0.1%,44,135,762,222,472,978,91,233,885,"5,458",0,0.0%,,0.2%,118,274,978
Q57,ESSEX ,RAJ,SOUTHEND UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,"7,449","7,050","7,554",98.6%,A&E HES attendances are within 10% of SitReps,"7,449",0,0.0%,*,"7,449",167,2.2%,"7,449",0,0.0%,"7,449",477,6.4%,0.0%,"2,337",358,15.3%,,0.3%,10,77,296,"7,243",185,2.6%,,0.2%,60,196,568,200,384,833,109,238,723,"7,449",0,0.0%,,0.1%,134,297,833
Q70,WESSEX ,RW1,SOUTHERN HEALTH NHS FOUNDATION TRUST,"1,960","1,751","1,876",104.5%,A&E HES attendances are within 10% of SitReps,"1,960",15,0.8%,5.8%,"1,945",28,1.4%,"1,960",0,0.0%,"1,960",41,2.1%,0.0%,*,*,0.0%,,0.0%,*,*,*,"1,917",43,2.2%,,0.0%,24,111,241,189,337,337,58,169,407,"1,960",1,0.1%,,0.0%,58,177,407
Q48,MERSEYSIDE ,RVY,SOUTHPORT AND ORMSKIRK HOSPITAL NHS TRUST,"9,279","9,049","9,695",95.7%,A&E HES attendances are within 10% of SitReps,"9,279",0,0.0%,1.8%,"9,279",138,1.5%,"9,279",0,0.0%,"9,279",992,10.7%,0.0%,"1,641",0,0.0%,,0.1%,0,2,70,"9,107",9,0.1%,,0.0%,44,165,"1,417",223,446,872,81,223,784,"9,279",0,0.0%,,0.0%,95,239,872
Q66,"DEVON, CORNWALL AND ISLES OF SCILLY ",NLL13,ST AUSTELL COMMUNITY HOSPITAL,948,No Data,No Data,No Data,No Data,948,0,0.0%,0.0%,948,7,0.7%,948,0,0.0%,948,39,4.1%,0.0%,6,0,0.0%,,0.0%,1,62,62,941,0,0.0%,,0.0%,27,98,"1,049",*,*,*,60,148,305,948,0,0.0%,,0.0%,60,148,305
Q66,"DEVON, CORNWALL AND ISLES OF SCILLY ",NLL08,ST BARNABAS HOSPITAL,136,No Data,No Data,No Data,No Data,136,0,0.0%,0.0%,136,*,*,136,0,0.0%,136,*,*,0.0%,No Data,No Data,No Data,,No Data,No Data,No Data,No Data,133,0,0.0%,,0.0%,17,75,92,No Data,No Data,No Data,40,101,136,136,0,0.0%,,0.0%,40,101,136
Q71,LONDON ,RJ7,ST GEORGE'S HEALTHCARE NHS TRUST,"12,244","11,712","12,549",97.6%,A&E HES attendances are within 10% of SitReps,"12,244",0,0.0%,0.8%,"12,244",423,3.5%,"12,244",0,0.0%,"12,244",852,7.0%,1.9%,"3,163",0,0.0%,,89.8%,473,"1,363","1,439","11,808",14,0.1%,,16.3%,74,726,"1,434",228,482,"1,427",162,237,"1,259","12,244",0,0.0%,,2.0%,181,305,"1,427"
Q48,MERSEYSIDE ,RBN,ST HELENS AND KNOWSLEY HOSPITALS NHS TRUST,"8,463","7,879","8,442",100.2%,A&E HES attendances are within 10% of SitReps,"8,463",0,0.0%,*,"8,463",329,3.9%,"8,463",0,0.0%,"8,463",622,7.3%,0.1%,"2,839",8,0.3%,,0.1%,26,172,422,"8,125",0,0.0%,,0.1%,81,216,530,231,464,"1,271",130,239,914,"8,463",0,0.0%,,0.1%,180,309,"1,271"
